title,creators,collection,tags,call_number,ddc,lcc,lendings
"Why My Cat Is More Impressive Than Your Baby","Matthew Inman, The The Oatmeal",Philippines,,,741.56973,PN6728.O28,0
"Toyota Engagement Equation","Ernie Richardson, Tracey Richardson",Philippines,business,,658.4,HD58.9.R524,0
"How To","Randall Munroe",Philippines,"personal growth",,081,Q173,0
"Day Trading 101: From Understanding Risk Management and Creating Trade Plans to Recognizing Market Patterns and Using Automated Software, an Essential Primer in Modern Day Trading (Adams 101)","David Borman",Philippines,"finance, stock market",,332.64,HG4515.95.B665,0
"Lean Thinking: Banish Waste and Create Wealth in Your Corporation, Revised and Updated","James P. Womack, Daniel T. Jones",Philippines,"business, finance",,658,HD58.9.W659,0
"Leaders Make the Future: Ten New Leadership Skills for an Uncertain World (Bk Business)","Bob Johansen",Philippines,"business, leadership &amp; management",,658.4092,HD57.7,0
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler",Philippines,"business, communication",,153.6,BF637.C45,0
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","Tom Rath, Barry Conchie",Philippines,"business, leadership &amp; management",,303.34,HM1261,0
"Psych 101: Psychology Facts, Basics, Statistics, Tests, and More!","Paul Kleinman",Philippines,"personal growth",,150,BF145,0
"Thinking, Fast and Slow","Daniel Kahneman",Philippines,"business, new york time best seller, personal growth",,153.42,BF441,0
"Difficult Conversations: How to Discuss What Matters Most","Douglas Stone, Bruce Patton, Sheila Heen",Philippines,"communication, leadership &amp; management, personal growth",,158.2,BF637.C45,0
"Negotiating 101","Peter Sander",Philippines,"business, communication, leadership &amp; management",,658.4052,HD58.6,0
"Bruce Lee: The Authorized Visual History","Steve Kerridge",Philippines,"biography, celebrity, film &amp; television",,790,PN2287.L2897,0
"Silk Roads: A New History of the World - Illustrated Edition","Peter Frankopan",Philippines,history,,909,D21.3,0
"Start with Why: How Great Leaders Inspire Everyone to Take Action","Simon Sinek",Philippines,"business, leadership &amp; management",,658.4092,HD57.7,0
"Sapiens: a Graphic History","Yuval Noah Harari",Philippines,history,,909,,0
"Promised Land","Barack Obama",Philippines,"biography, new york time best seller, politics",,971.354105092,F1058,0
"Good to Great: Why Some Companies Make the Leap... and Others Don't","Jim Collins",Philippines,"business, entrepreneurship",,658,HD57.7,0
"Together Is Better: A Little Book of Inspiration","Simon Sinek",Philippines,inspiration,,650.1,HD58.7.S5933,0
"100 Business Tools for Success","Jeremy Kourdi",Philippines,"business, startups, technology",,658.409,HF5386,0
"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly","Evy Poumpouras",Philippines,"personal growth",,158.2,BF697.5.S45,0
"100 Mistakes that Changed History: Backfires and Blunders That Collapsed Empires, Crashed Economies, and Altered the Course of Our World","Bill Fawcett",Philippines,history,,909,D10,0
"Infinite Game","Simon Sinek",Philippines,"business, new york time best seller",,658.4092,HD57.7,0
"Becoming Better Grownups","Brad Montague",Philippines,"personal growth",,305.24,HQ799.95,0
"21 Lessons for the 21st Century","Yuval Noah Harari",Philippines,"history, politics, sociology",,909.83,CB428,0
"Touching the Jaguar","John Perkins",Philippines,,,,,0
"BE 2. 0 (Beyond Entrepreneurship 2. 0)","Jim Collins, William Lazier",Philippines,"business, entrepreneurship",,658.4,HD31.2,0
"What You Do Is Who You Are: How to Create Your Business Culture","Ben Horowitz",Philippines,"business, entrepreneurship, startups",,658.1,HD62.5.H64797,0
Untamed,"Glennon Doyle",Philippines,,,306.893,CT275,0
"Effective Executive: The Definitive Guide to Getting the Right Things Done","Peter F. Drucker",Philippines,"business, leadership &amp; management",,658.4,HD38.D68,0
"Simply Philosophy",,Philippines,philosophy,,100,,0
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",Philippines,"history, new york time best seller",,909,"CB113.H4 H3713",0
"First, Break All The Rules: What the World's Greatest Managers Do Differently","Gallup Press",Philippines,"business, leadership &amp; management",,658.409,HD38.2,0
"Homo Deus: A Brief History of Tomorrow","Yuval Noah Harari",Philippines,history,,909.83,CB428,0
"In the Plex","Steven Levy",Philippines,"business, entrepreneurship, technology",,338.76102504,HD9696.8.U64,0
"Pokémon Visual Companion Third Edition",DK,Philippines,kids,,843.914,GV1469.35.P63,0
"Lonely Planet Vietnam","Nick Ray, Wendy Yanagihara",Philippines,travel,,915.970444,DS556.25,0
China,"Fodor's Travel Publications, Inc. Staff",Philippines,travel,,915.1046,DS712,0
"What to Expect When You're Expecting, 4th Edition","Sandee Hathaway B.S.N, Arlene Eisenberg, Heidi Murkoff, Sharon Mazel",Philippines,family,,618.24,RG525,0
"Mandarin Phrasebook (Lonely Planet)","Charles Qin, Justin Rudelson",Philippines,travel,,495.182421,PL1125.E6,0
"Mandarin: Lonely Planet Phrasebook","Anthony Garnaut, Lonely Planet Phrasebooks",Philippines,travel,,,,0
Shanghai,"Bradley Mayhew",Philippines,travel,,915.1132046,DS796.S23,0
"Conscious Golf: The Three Secrets of Success in Business, Life and Golf","Gay Hendricks",Philippines,sports,,796.352,GV873,0
"Lonely Planet China","Damian Harper",Philippines,travel,,915.1046,DS705,0
"Lonely Planet Europe On A Shoestring","Sarah Johnstone, China Williams, Reuben Acciano",Philippines,travel,,914.04561,D909,0
"Lonely Planet USA","Jeff Campbell, Loretta Chilcoat, Susan Derby, Beth Greenfield, Carolyn B. Heller, Sam Martin, Debra Miller, Bob Morris, Becky Ohlsen, Andrea Schulte-Peevers, Kurt Wolff, Karla Zimmerman",Philippines,travel,,917.304931,E158,0
Cookies,"Williams- Sonoma",Philippines,"food &amp; drinks",,641.8654,TX772,0
"Cook's Companion: The Complete Book of Ingredients and Recipes for the Australian Kitchen","Stephanie Alexander",Philippines,"food &amp; drinks",,641.3,TX651,0
"Curious Bartender: The Artistry and Alchemy of Creating the Perfect Cocktail","Tristan Stephenson",Philippines,"food &amp; drinks",,641.874,TX951,0
Awakening,"Kate Chopin",Philippines,fiction,,813.4,PS1294.C63,0
"I Know Why the Caged Bird Sings","Maya Angelou",Philippines,biography,,917.30974960924,PS3551.N464,0
"Atlas Shrugged","Ayn Rand",Philippines,fiction,,813.52,PS3535.A547,0
"Brothers: John Foster Dulles, Allen Dulles, and Their Secret World War","Stephen Kinzer",Philippines,"biography, military",,327.127300922,E748.D868,0
"Military Misfortunes: The Anatomy of Failure in War","Eliot A. Cohen",Philippines,military,,355.480904,U42,0
"Outliers: The Story of Success","Malcolm Gladwell",Philippines,"business, startups",,302,BF637.S8,0
"Leaves of Grass (Collins Classics)","Walt Whitman",Philippines,fiction,,811.3,PS3201,0
"Leaves of Grass (Bantam Classics)","Walt Whitman",Philippines,fiction,,811.3,PS3201,0
"Slaughterhouse Heart","Afsaneh Knight",Philippines,,,823.92,PR6111.N53,0
Crucible,"Arthur Miller",Philippines,"fiction, plays",,812.52,PS3525.I5156,0
"Delivering Happiness","Tony Hsieh",Philippines,"inspiration, personal growth",,658.409,HF5386,0
"To Kill a Mockingbird slipcased edition","Harper Lee",Philippines,fiction,,813.54,PS3562.E353,0
"Lean Startup","Eric Ries",Philippines,"business, entrepreneurship, startups",,658.11,HD62.5,0
"On the Road: The Original Scroll (Penguin Classics Deluxe Edition)","Jack Kerouac",Philippines,fiction,,813.54,PS3521.E735,0
"To Kill a Mockingbird: A Graphic Novel","Harper Lee, Fred Fordham",Philippines,fiction,,741.56973,PN6737.F673,0
"Leaves of Grass (Word Cloud Classics)","Walt Whitman",Philippines,fiction,,811,PS3201,0
"Maggie, a Girl of the Streets and Other New York Writings (Modern Library Classics)","Stephen Crane",Philippines,,,813,"PS1449.C85 A6",0
"Incidents in the Life of a Slave Girl","Harriet Jacobs, Tiya Miles (Introduction by)",Philippines,,,305.567092,E444,0
"To Kill a Mockingbird","Harper Lee",Philippines,fiction,,813.54,PS3562.E353,0
"Fahrenheit 451: A Novel","Ray Bradbury",Philippines,fiction,,813.54,PS3503.R167,0
"Fall of the House of Usher: And Other Stories","Edgar Allan Poe",Philippines,"fiction, poetry",,813.3,PS2612,0
"Hard Thing About Hard Things: Building a Business When There Are No Easy Answers","Ben Horowitz",Philippines,"business, leadership &amp; management, startups",,658.403,HD62.5,0
"Slaughterhouse-Five: the Graphic Novel","Ryan North, Albert Monteys (Illustrator), Kurt Vonnegut",Philippines,,,741.5,PS3572.O5,0
Patriot,"Stephen Molstad",Philippines,,,813.54,PS3563.O437,0
"Case of Need","Michael Crichton",Philippines,,,813.54,PS3553.R48,0
"Dwellers in the Crucible (Star Trek, No 25)","Margaret W. Bonanno",Philippines,,,813.54,PS3552.O5924,0
"City of the Sun","David Levien",Philippines,,,813.54,"PZ7.O81167 Hi",0
"Deadly Dcisions","Kathy Reichs",Philippines,,,813.54,PS3568.E476345,0
"Reflex (Jumper)","Steven Gould",Philippines,,,813.54,PS3557.O8947,0
"Black Notice","Patricia Cornwell",Philippines,,,813.54,PS3553.O692,0
"Emperor of Ocean Park","Stephen L. Carter",Philippines,,,813.6,PS3603.A78,0
Blowout,"Catherine Coulter",Philippines,,,813.54,PS3553.O843,0
"Double Minds: A Novel","Terri Blackstock",Philippines,,,813.54,PS3552.L34285,0
"Probe (Star Trek)","Margaret Wander Bonanno",Philippines,,,813.54,PS3552.O5925,0
"Purple Cane Road: A Novel (Dave Robicheaux Mysteries)","James Lee Burke",Philippines,,,813.54,PS3552.U723,0
"Whale Done!: The Power of Positive Relationships","Kenneth Blanchard, Thad Lacinak, Chuck Tompkins, Jim Ballard",Philippines,,,158.2,BF503,0
"Whale Done Parenting","Ken Blanchard",Philippines,,,,,0
"Turn the Ship Around!: A True Story of Turning Followers into Leaders","David Marquet",Philippines,,,658.4,HD57.7.M39245,0
"SPEED of Trust: The One Thing that Changes Everything","Stephen M.R. Covey",Philippines,,,174.4,HF5387,0
"Servant Leader: How to Build a Creative Team, Develop Great Morale, and Improve Bottom-Line Performance","James A. Autry",Philippines,,,158.4,BF637.L4,0
"Sweet Poison","David Gillespie",Philippines,,,613.283,TX553.S8,0
"Andromeda Strain","Michael Crichton",Philippines,,,813.54,PS3553.R48,0
Summons,"John Grisham",Philippines,,,813.54,PS3557.R5355,0
"Complete Me (The Stark Trilogy): A Novel","J. Kenner",Philippines,,,813.6,PS3611.E665,0
"Brain Rules","John Medina",Philippines,,,612.82,BF444,0
"Psych Experiments: From Pavlov's dogs to Rorschach's inkblots, put psychology's most fascinating studies to the test","Michael A. Britt Ph.D",Philippines,,,150.72,BF181.B747,0
"Genesis Code","John Case",Philippines,,,813.54,PS3553.A7914,0
"Drucker &amp; Me","Bob Buford",Philippines,,,300.92,H59.D75,0
"Lost Art of the Great Speech: How to Write One--How to Deliver It","Richard Dowis",Philippines,,,808.51,PN4121,0
"Truth About Trump","Michael D'Antonio",Philippines,,,333.33092,HC102.5.T78,0
"Solving the People Puzzle","Peter Rowe",Philippines,,,,,0
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",Philippines,,,909,CB113.H4,0
"Lunch with the FT","Barber Lionel",Philippines,,,338.0922,HC29,0
"CTO ] CIO Bible: The Mission Objectives Strategies And Tactics Needed To Be A Super Successful CTO ] CIO","Rorie Devine",Philippines,,,,,0
"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins",Philippines,,,359.0092,V63.G58,0
"Practice of System and Network Administration: Volume 1: DevOps and other Best Practices for Enterprise IT (3rd Edition)","Thomas A. Limoncelli, Christina J. Hogan, Strata R. Chalup",Philippines,,,004.6068,TK5105.5,0
"Wolfsbane (Nightshade, Book 2)","Andrea Cremer",Philippines,,,813.6,PZ7.C86385,0
"EVERYTHING IS FUCKED: A BOOK ABOUT HOPE",,Philippines,,,,,0
"Think Like a Monk","Jay Shetty",Philippines,,,158.1,BF637.S4,0
"McDonaldization of Society: Into the Digital Age","George Ritzer",Philippines,,,306.0973,HM706.R58,0
"Combing the Coral Carpet: Sailing Tales and the Cruising Guide to the Philippine Islands, Vol. 1","Bruce Curran",Philippines,"mak03 reference",,,VK933.P6,0
"Raving Fans",,Philippines,,,658.812,HF5415.5,0
"Digital Persuasion: Sell Smarter in the Modern Marketplace","Erin Gargan",Philippines,,,,,0
"Alexander Hamilton (Great Lives)",,Philippines,,,973.4092,E302.6.H2,0
"Then She Was Gone","LISA JEWELL",Philippines,,,823.914,PR6060.E95,0
"Subtle Knife","Philip Pullman",Philippines,,,823.914,PZ7.P968,0
"New One Minute Manager","Ken Blanchard, Spencer, M.D. Johnson",Philippines,,,658,HD31,0
